id,date,policy,status,best_stock,best_change,actual_date,note
부동산#6,2013-04-01,4.1 부동산 종합대책,✅ 기확정,-,-4.02,2013-04-01,기존 검증 완료
부동산#7,2017-06-19,6.19 주택시장 안정화 대책,✅ 통과,006360,-2.7,2017-06-20,2% 기준 충족
부동산#8,2020-06-17,6.17 부동산 대책,🔶 보류,-,0.0,-,보류 - 종목/날짜/정책 교체 검토 필요
부동산#9,2022-06-21,윤석열 정부 규제 완화 패키지,✅ 통과,047040,-6.35,2022-06-22,2% 기준 충족
부동산#10,2024-01-10,1.10 주택공급 대책,✅ 통과,000215,6.51,2024-01-11,2% 기준 충족
바이오#1,2000-07-01,의약분업 시행,✅ 기확정,-,-5.45,2000-07-01,기존 검증 완료
바이오#2,2005-01-12,황우석팀 줄기세포 정부 승인,🔶 보류,-,0.0,-,보류 - 종목/날짜/정책 교체 검토 필요
바이오#3,2005-12-15,황우석 논문 조작 폭로,✅ 기확정,-,-8.13,2005-12-15,기존 검증 완료
바이오#4,2009-06-30,바이오시밀러 허가심사 가이드라인,✅ 기확정,-,3.7,2009-06-30,기존 검증 완료
바이오#5,2010-11-29,리베이트 쌍벌제 시행 (11/28 휴일→29적용),✅ 기확정,-,5.26,2010-11-29,기존 검증 완료
바이오#6,2012-07-23,셀트리온 램시마 세계최초 허가,✅ 기확정,-,-2.3,2012-07-23,기존 검증 완료
바이오#7,2019-05-22,바이오헬스 육성 전략,✅ 통과,086900,-3.68,2019-05-22,2% 기준 충족
바이오#8,2020-12-08,코로나19 백신 수급 계획,✅ 통과,068270,-13.26,2020-12-08,2% 기준 충족
바이오#9,2024-02-06,의대정원 2000명 증원 발표,✅ 통과,009420,10.33,2024-02-06,2% 기준 충족
바이오#10,2025-12-30,CDMO 특별법 시행,✅ 기확정,-,6.5,2025-12-30,기존 검증 완료
2차전지#1,2009-10-06,녹색성장 5개년 계획,✅ 기확정,-,-5.57,2009-10-06,기존 검증 완료
2차전지#2,2013-06-25,전기차 민간 보급 보조금 최초,✅ 기확정,-,-2.9,2013-06-25,기존 검증 완료
2차전지#3,2017-09-11,재생에너지 3020 이행계획,✅ 기확정,-,5.23,2017-09-11,기존 검증 완료
2차전지#4,2019-06-11,ESS 화재 안전강화대책,🔶 보류,-,0.0,-,보류 - 종목/날짜/정책 교체 검토 필요
2차전지#5,2020-07-14,한국판 뉴딜 그린뉴딜 73.4조원,✅ 통과,009830,-6.17,2020-07-14,2% 기준 충족
2차전지#6,2021-07-14,EU CBAM + 배터리 규정안,✅ 통과,247540,10.22,2021-07-15,2% 기준 충족
2차전지#7,2022-08-16,미국 IRA 서명·발효,✅ 통과,086520,4.05,2022-08-16,2% 기준 충족
2차전지#8,2022-11-01,이차전지 산업 혁신전략,✅ 기확정,-,11.02,2022-11-01,기존 검증 완료
2차전지#9,2023-04-20,첨단전략산업 지정 + 세액공제,✅ 통과,247540,-7.31,2023-04-21,2% 기준 충족
2차전지#10,2025-05-22,트럼프 IRA 전기차 세액공제 축소,✅ 통과,086520,-4.84,2025-05-23,2% 기준 충족
