pn,alias,industry,type_subtype,D_i_initial,active_channels,hypothesis_support,hypothesis_contradict,hypothesis_neutral,status
11,5개 은행 퇴출,금융/증권,D_crisis_shock,-,"C4,C6","'5개 은행 퇴출' 충격이 패닉 확산·신뢰 훼손·불확실성과 리스크 확대로 주택은행, 한일은행 등 금융 업종의 주가에 하락 압력을 만든다","'5개 은행 퇴출' 충격이 시장 정화와 점진적 신뢰 회복으로 주택은행, 한일은행 등 금융 업종의 주가에 상승 압력을 만든다",이 기사는 '5개 은행 퇴출' 정책과 무관하거나 정책의 주가 영향이 아닌 단순 사실 전달이다,v1.1_frozen
12,리먼 파산,금융/증권,E_foreign_shock,-,"C3,C4",'리먼 파산' 충격이 공급망 위축·정책 불확실성 확대로 은행주 (KB·신한·하나·우리) 등 금융 업종의 주가에 하락 압력을 만든다,'리먼 파산' 충격에 대해 한국 기업의 대안 시장 확보와 국산화 가속으로 은행주 (KB·신한·하나·우리) 등 금융 업종의 주가에 상승 압력을 만든다,이 기사는 '리먼 파산' 정책과 무관하거나 정책의 주가 영향이 아닌 단순 사실 전달이다,v1.1_frozen
13,공매도 금지 1차,금융/증권,B_market_stabilizer,+,"C5,C6",'공매도 금지 1차' 정책이 시장 안정·유동성 회복·투자심리 개선을 통해 전 종목 (특히 금융주) 등 금융 업종의 주가에 상승 압력을 만든다,'공매도 금지 1차' 정책이 거래 위축과 시장 왜곡으로 전 종목 (특히 금융주) 등 금융 업종의 주가에 하락 압력을 만든다,이 기사는 '공매도 금지 1차' 정책과 무관하거나 정책의 주가 영향이 아닌 단순 사실 전달이다,v1.1_frozen
14,공매도 금지 2차,금융/증권,B_market_stabilizer,+,"C5,C6",'공매도 금지 2차' 정책이 시장 안정·유동성 회복·투자심리 개선을 통해 금융 업종 등 금융 업종의 주가에 상승 압력을 만든다,'공매도 금지 2차' 정책이 거래 위축과 시장 왜곡으로 금융 업종 등 금융 업종의 주가에 하락 압력을 만든다,이 기사는 '공매도 금지 2차' 정책과 무관하거나 정책의 주가 영향이 아닌 단순 사실 전달이다,v1.1_frozen
15,공매도 금지 3차,금융/증권,B_market_stabilizer,+,"C5,C6",'공매도 금지 3차' 정책이 시장 안정·유동성 회복·투자심리 개선을 통해 금융 업종 등 금융 업종의 주가에 상승 압력을 만든다,'공매도 금지 3차' 정책이 거래 위축과 시장 왜곡으로 금융 업종 등 금융 업종의 주가에 하락 압력을 만든다,이 기사는 '공매도 금지 3차' 정책과 무관하거나 정책의 주가 영향이 아닌 단순 사실 전달이다,v1.1_frozen
16,공매도 금지 4차,금융/증권,B_market_stabilizer,+,"C5,C6",'공매도 금지 4차' 정책이 시장 안정·유동성 회복·투자심리 개선을 통해 특히 2차전지·바이오 등 금융 업종의 주가에 상승 압력을 만든다,'공매도 금지 4차' 정책이 거래 위축과 시장 왜곡으로 특히 2차전지·바이오 등 금융 업종의 주가에 하락 압력을 만든다,이 기사는 '공매도 금지 4차' 정책과 무관하거나 정책의 주가 영향이 아닌 단순 사실 전달이다,v1.1_frozen
17,100조 패키지,금융/증권,D_crisis_relief,+,"C4,C5,C6","'100조 패키지' 정책이 유동성 공급·시장 불안 완화·신뢰 회복을 통해 은행, 항공 등 금융 업종의 주가에 상승 압력을 만든다","'100조 패키지' 정책이 정책 효과 미흡과 추가 위기 우려 확산으로 은행, 항공 등 금융 업종의 주가에 하락 압력을 만든다",이 기사는 '100조 패키지' 정책과 무관하거나 정책의 주가 영향이 아닌 단순 사실 전달이다,v1.1_frozen
18,거래세 인하,금융/증권,A_tax_support,+,C1,'거래세 인하' 정책이 세부담 감소와 자금 여력 개선을 통해 미래에셋·한투·NH·키움 등 증권주 등 금융 업종의 주가에 상승 압력을 만든다,'거래세 인하' 정책이 세부담 증가나 정책 효과 부진으로 미래에셋·한투·NH·키움 등 증권주 등 금융 업종의 주가에 하락 압력을 만든다,이 기사는 '거래세 인하' 정책과 무관하거나 정책의 주가 영향이 아닌 단순 사실 전달이다,v1.1_frozen
19,금투세 폐지,금융/증권,A_tax_support,+,C1,"'금투세 폐지' 정책이 세부담 감소와 자금 여력 개선을 통해 증권사 (수혜), 개인투자자 등 금융 업종의 주가에 상승 압력을 만든다","'금투세 폐지' 정책이 세부담 증가나 정책 효과 부진으로 증권사 (수혜), 개인투자자 등 금융 업종의 주가에 하락 압력을 만든다",이 기사는 '금투세 폐지' 정책과 무관하거나 정책의 주가 영향이 아닌 단순 사실 전달이다,v1.1_frozen
20,자본시장법,금융/증권,C_industrial_support,+,"C3,C6",'자본시장법' 정책이 설비투자 확대·인프라 구축·시장 신뢰 강화를 통해 증권사·자산운용사 등 금융 업종의 주가에 상승 압력을 만든다,'자본시장법' 정책이 실행 지연과 정책 효과 부진으로 증권사·자산운용사 등 금융 업종의 주가에 하락 압력을 만든다,이 기사는 '자본시장법' 정책과 무관하거나 정책의 주가 영향이 아닌 단순 사실 전달이다,v1.1_frozen
21,주택활성화,부동산/건설,D_crisis_relief,+,"C4,C5,C6",'주택활성화' 정책이 유동성 공급·시장 불안 완화·신뢰 회복을 통해 현대건설·대우건설·삼성물산 등 건설 업종의 주가에 상승 압력을 만든다,'주택활성화' 정책이 정책 효과 미흡과 추가 위기 우려 확산으로 현대건설·대우건설·삼성물산 등 건설 업종의 주가에 하락 압력을 만든다,이 기사는 '주택활성화' 정책과 무관하거나 정책의 주가 영향이 아닌 단순 사실 전달이다,v1.1_frozen
22,10·29 대책,부동산/건설,B_restriction_negative,-,"C2,C4","'10·29 대책' 정책이 매출 위축과 정책 불확실성 확대로 건설주, 부동산 펀드 등 건설 업종의 주가에 하락 압력을 만든다","'10·29 대책' 정책이 시장 정상화와 신뢰 회복을 통해 건설주, 부동산 펀드 등 건설 업종의 주가에 상승 압력을 만든다",이 기사는 '10·29 대책' 정책과 무관하거나 정책의 주가 영향이 아닌 단순 사실 전달이다,v1.1_frozen
23,8·31 대책,부동산/건설,B_restriction_negative,-,"C2,C4",'8·31 대책' 정책이 매출 위축과 정책 불확실성 확대로 건설주 등 건설 업종의 주가에 하락 압력을 만든다,'8·31 대책' 정책이 시장 정상화와 신뢰 회복을 통해 건설주 등 건설 업종의 주가에 상승 압력을 만든다,이 기사는 '8·31 대책' 정책과 무관하거나 정책의 주가 영향이 아닌 단순 사실 전달이다,v1.1_frozen
24,세제완화,부동산/건설,A_tax_support,+,C1,"'세제완화' 정책이 세부담 감소와 자금 여력 개선을 통해 건설주, 부동산 신탁 등 건설 업종의 주가에 상승 압력을 만든다","'세제완화' 정책이 세부담 증가나 정책 효과 부진으로 건설주, 부동산 신탁 등 건설 업종의 주가에 하락 압력을 만든다",이 기사는 '세제완화' 정책과 무관하거나 정책의 주가 영향이 아닌 단순 사실 전달이다,v1.1_frozen
25,보금자리 150만,부동산/건설,C_industrial_support,+,"C3,C6","'보금자리 150만' 정책이 설비투자 확대·인프라 구축·시장 신뢰 강화를 통해 LH 관련주, 중소건설 등 건설 업종의 주가에 상승 압력을 만든다","'보금자리 150만' 정책이 실행 지연과 정책 효과 부진으로 LH 관련주, 중소건설 등 건설 업종의 주가에 하락 압력을 만든다",이 기사는 '보금자리 150만' 정책과 무관하거나 정책의 주가 영향이 아닌 단순 사실 전달이다,v1.1_frozen
26,4·1 대책,부동산/건설,A_tax_support,+,C1,'4·1 대책' 정책이 세부담 감소와 자금 여력 개선을 통해 건설주 등 건설 업종의 주가에 상승 압력을 만든다,'4·1 대책' 정책이 세부담 증가나 정책 효과 부진으로 건설주 등 건설 업종의 주가에 하락 압력을 만든다,이 기사는 '4·1 대책' 정책과 무관하거나 정책의 주가 영향이 아닌 단순 사실 전달이다,v1.1_frozen
27,6·19 대책,부동산/건설,B_restriction_negative,-,"C2,C4",'6·19 대책' 정책이 매출 위축과 정책 불확실성 확대로 건설주 등 건설 업종의 주가에 하락 압력을 만든다,'6·19 대책' 정책이 시장 정상화와 신뢰 회복을 통해 건설주 등 건설 업종의 주가에 상승 압력을 만든다,이 기사는 '6·19 대책' 정책과 무관하거나 정책의 주가 영향이 아닌 단순 사실 전달이다,v1.1_frozen
28,8·2 대책,부동산/건설,B_restriction_negative,-,"C2,C4","'8·2 대책' 정책이 매출 위축과 정책 불확실성 확대로 건설주, 강남 단지 관련 등 건설 업종의 주가에 하락 압력을 만든다","'8·2 대책' 정책이 시장 정상화와 신뢰 회복을 통해 건설주, 강남 단지 관련 등 건설 업종의 주가에 상승 압력을 만든다",이 기사는 '8·2 대책' 정책과 무관하거나 정책의 주가 영향이 아닌 단순 사실 전달이다,v1.1_frozen
29,9·13 대책,부동산/건설,B_restriction_negative,-,"C2,C4",'9·13 대책' 정책이 매출 위축과 정책 불확실성 확대로 건설주 등 건설 업종의 주가에 하락 압력을 만든다,'9·13 대책' 정책이 시장 정상화와 신뢰 회복을 통해 건설주 등 건설 업종의 주가에 상승 압력을 만든다,이 기사는 '9·13 대책' 정책과 무관하거나 정책의 주가 영향이 아닌 단순 사실 전달이다,v1.1_frozen
30,27만호 공급,부동산/건설,C_industrial_support,+,"C3,C6","'27만호 공급' 정책이 설비투자 확대·인프라 구축·시장 신뢰 강화를 통해 건설주, 1기 신도시 관련주 등 건설 업종의 주가에 상승 압력을 만든다","'27만호 공급' 정책이 실행 지연과 정책 효과 부진으로 건설주, 1기 신도시 관련주 등 건설 업종의 주가에 하락 압력을 만든다",이 기사는 '27만호 공급' 정책과 무관하거나 정책의 주가 영향이 아닌 단순 사실 전달이다,v1.1_frozen
31,의약분업,바이오/제약,B_restriction_negative,-,"C2,C4","'의약분업' 정책이 매출 위축과 정책 불확실성 확대로 녹십자, 유한양행 등 제약·바이오 업종의 주가에 하락 압력을 만든다","'의약분업' 정책이 시장 정상화와 신뢰 회복을 통해 녹십자, 유한양행 등 제약·바이오 업종의 주가에 상승 압력을 만든다",이 기사는 '의약분업' 정책과 무관하거나 정책의 주가 영향이 아닌 단순 사실 전달이다,v1.1_frozen
32,줄기세포 육성,바이오/제약,C_industrial_support,+,"C3,C6","'줄기세포 육성' 정책이 설비투자 확대·인프라 구축·시장 신뢰 강화를 통해 마크로젠, 차바이오텍 (당시) 등 제약·바이오 업종의 주가에 상승 압력을 만든다","'줄기세포 육성' 정책이 실행 지연과 정책 효과 부진으로 마크로젠, 차바이오텍 (당시) 등 제약·바이오 업종의 주가에 하락 압력을 만든다",이 기사는 '줄기세포 육성' 정책과 무관하거나 정책의 주가 영향이 아닌 단순 사실 전달이다,v1.1_frozen
33,황우석 폭로,바이오/제약,D_crisis_shock,-,"C4,C6",'황우석 폭로' 충격이 패닉 확산·신뢰 훼손·불확실성과 리스크 확대로 바이오 전반 등 제약·바이오 업종의 주가에 하락 압력을 만든다,'황우석 폭로' 충격이 시장 정화와 점진적 신뢰 회복으로 바이오 전반 등 제약·바이오 업종의 주가에 상승 압력을 만든다,이 기사는 '황우석 폭로' 정책과 무관하거나 정책의 주가 영향이 아닌 단순 사실 전달이다,v1.1_frozen
34,시밀러 가이드,바이오/제약,C_industrial_support,+,"C3,C6","'시밀러 가이드' 정책이 설비투자 확대·인프라 구축·시장 신뢰 강화를 통해 셀트리온, 삼성바이오에피스(추후) 등 제약·바이오 업종의 주가에 상승 압력을 만든다","'시밀러 가이드' 정책이 실행 지연과 정책 효과 부진으로 셀트리온, 삼성바이오에피스(추후) 등 제약·바이오 업종의 주가에 하락 압력을 만든다",이 기사는 '시밀러 가이드' 정책과 무관하거나 정책의 주가 영향이 아닌 단순 사실 전달이다,v1.1_frozen
35,쌍벌제,바이오/제약,B_restriction_negative,-,"C2,C4",'쌍벌제' 정책이 매출 위축과 정책 불확실성 확대로 전통 제약사 (영업 타격) 등 제약·바이오 업종의 주가에 하락 압력을 만든다,'쌍벌제' 정책이 시장 정상화와 신뢰 회복을 통해 전통 제약사 (영업 타격) 등 제약·바이오 업종의 주가에 상승 압력을 만든다,이 기사는 '쌍벌제' 정책과 무관하거나 정책의 주가 영향이 아닌 단순 사실 전달이다,v1.1_frozen
36,약가인하,바이오/제약,B_restriction_negative,-,"C2,C4",'약가인하' 정책이 매출 위축과 정책 불확실성 확대로 전통 제약사 등 제약·바이오 업종의 주가에 하락 압력을 만든다,'약가인하' 정책이 시장 정상화와 신뢰 회복을 통해 전통 제약사 등 제약·바이오 업종의 주가에 상승 압력을 만든다,이 기사는 '약가인하' 정책과 무관하거나 정책의 주가 영향이 아닌 단순 사실 전달이다,v1.1_frozen
37,바이오 육성,바이오/제약,C_industrial_support,+,"C3,C6","'바이오 육성' 정책이 설비투자 확대·인프라 구축·시장 신뢰 강화를 통해 셀트리온, 삼성바이오로직스 등 제약·바이오 업종의 주가에 상승 압력을 만든다","'바이오 육성' 정책이 실행 지연과 정책 효과 부진으로 셀트리온, 삼성바이오로직스 등 제약·바이오 업종의 주가에 하락 압력을 만든다",이 기사는 '바이오 육성' 정책과 무관하거나 정책의 주가 영향이 아닌 단순 사실 전달이다,v1.1_frozen
38,백신-CMO,바이오/제약,D_crisis_relief,+,"C4,C5,C6","'백신-CMO' 정책이 유동성 공급·시장 불안 완화·신뢰 회복을 통해 삼성바이오로직스, SK바이오사이언스 등 제약·바이오 업종의 주가에 상승 압력을 만든다","'백신-CMO' 정책이 정책 효과 미흡과 추가 위기 우려 확산으로 삼성바이오로직스, SK바이오사이언스 등 제약·바이오 업종의 주가에 하락 압력을 만든다",이 기사는 '백신-CMO' 정책과 무관하거나 정책의 주가 영향이 아닌 단순 사실 전달이다,v1.1_frozen
39,의대증원,바이오/제약,B_restriction_negative,-,"C2,C4",'의대증원' 정책이 매출 위축과 정책 불확실성 확대로 병원·의료기기·디지털헬스 등 제약·바이오 업종의 주가에 하락 압력을 만든다,'의대증원' 정책이 시장 정상화와 신뢰 회복을 통해 병원·의료기기·디지털헬스 등 제약·바이오 업종의 주가에 상승 압력을 만든다,이 기사는 '의대증원' 정책과 무관하거나 정책의 주가 영향이 아닌 단순 사실 전달이다,v1.1_frozen
40,CDMO 특별법,바이오/제약,A_tax_support,+,C1,"'CDMO 특별법' 정책이 세부담 감소와 자금 여력 개선을 통해 삼성바이오로직스, 셀트리온 등 제약·바이오 업종의 주가에 상승 압력을 만든다","'CDMO 특별법' 정책이 세부담 증가나 정책 효과 부진으로 삼성바이오로직스, 셀트리온 등 제약·바이오 업종의 주가에 하락 압력을 만든다",이 기사는 'CDMO 특별법' 정책과 무관하거나 정책의 주가 영향이 아닌 단순 사실 전달이다,v1.1_frozen
41,녹색성장,2차전지/에너지,C_industrial_support,+,"C3,C6","'녹색성장' 정책이 설비투자 확대·인프라 구축·시장 신뢰 강화를 통해 OCI, 한화솔루션 (당시 한화케미칼) 등 2차전지 업종의 주가에 상승 압력을 만든다","'녹색성장' 정책이 실행 지연과 정책 효과 부진으로 OCI, 한화솔루션 (당시 한화케미칼) 등 2차전지 업종의 주가에 하락 압력을 만든다",이 기사는 '녹색성장' 정책과 무관하거나 정책의 주가 영향이 아닌 단순 사실 전달이다,v1.1_frozen
42,전기차 보조금,2차전지/에너지,A_tax_support,+,C1,"'전기차 보조금' 정책이 세부담 감소와 자금 여력 개선을 통해 LG화학(에너지솔루션 전신), 삼성SDI 등 2차전지 업종의 주가에 상승 압력을 만든다","'전기차 보조금' 정책이 세부담 증가나 정책 효과 부진으로 LG화학(에너지솔루션 전신), 삼성SDI 등 2차전지 업종의 주가에 하락 압력을 만든다",이 기사는 '전기차 보조금' 정책과 무관하거나 정책의 주가 영향이 아닌 단순 사실 전달이다,v1.1_frozen
43,재생에너지 3020,2차전지/에너지,C_industrial_support,+,"C3,C6","'재생에너지 3020' 정책이 설비투자 확대·인프라 구축·시장 신뢰 강화를 통해 한화솔루션, OCI 등 2차전지 업종의 주가에 상승 압력을 만든다","'재생에너지 3020' 정책이 실행 지연과 정책 효과 부진으로 한화솔루션, OCI 등 2차전지 업종의 주가에 하락 압력을 만든다",이 기사는 '재생에너지 3020' 정책과 무관하거나 정책의 주가 영향이 아닌 단순 사실 전달이다,v1.1_frozen
44,ESS 화재,2차전지/에너지,D_crisis_shock,-,"C4,C6","'ESS 화재' 충격이 패닉 확산·신뢰 훼손·불확실성과 리스크 확대로 LG화학, 삼성SDI 등 2차전지 업종의 주가에 하락 압력을 만든다","'ESS 화재' 충격이 시장 정화와 점진적 신뢰 회복으로 LG화학, 삼성SDI 등 2차전지 업종의 주가에 상승 압력을 만든다",이 기사는 'ESS 화재' 정책과 무관하거나 정책의 주가 영향이 아닌 단순 사실 전달이다,v1.1_frozen
45,EU CBAM,2차전지/에너지,E_foreign_shock,-,"C3,C4","'EU CBAM' 충격이 공급망 위축·정책 불확실성 확대로 포스코, 현대제철 등 2차전지 업종의 주가에 하락 압력을 만든다","'EU CBAM' 충격에 대해 한국 기업의 대안 시장 확보와 국산화 가속으로 포스코, 현대제철 등 2차전지 업종의 주가에 상승 압력을 만든다",이 기사는 'EU CBAM' 정책과 무관하거나 정책의 주가 영향이 아닌 단순 사실 전달이다,v1.1_frozen
46,미국 IRA,2차전지/에너지,E_foreign_benefit,+,"C2,C3","'미국 IRA'이(가) 한국 기업의 수출 수혜와 공급망 우위를 통해 LG에너지솔루션, 삼성SDI 등 2차전지 업종의 주가에 상승 압력을 만든다","'미국 IRA'이(가) 글로벌 경쟁 격화와 기대 미달로 LG에너지솔루션, 삼성SDI 등 2차전지 업종의 주가에 하락 압력을 만든다",이 기사는 '미국 IRA' 정책과 무관하거나 정책의 주가 영향이 아닌 단순 사실 전달이다,v1.1_frozen
47,배터리 전략,2차전지/에너지,C_industrial_support,+,"C3,C6","'배터리 전략' 정책이 설비투자 확대·인프라 구축·시장 신뢰 강화를 통해 LG에너지솔루션, 삼성SDI 등 2차전지 업종의 주가에 상승 압력을 만든다","'배터리 전략' 정책이 실행 지연과 정책 효과 부진으로 LG에너지솔루션, 삼성SDI 등 2차전지 업종의 주가에 하락 압력을 만든다",이 기사는 '배터리 전략' 정책과 무관하거나 정책의 주가 영향이 아닌 단순 사실 전달이다,v1.1_frozen
48,첨단전략산업법,2차전지/에너지,A_tax_support,+,C1,"'첨단전략산업법' 정책이 세부담 감소와 자금 여력 개선을 통해 LG엔솔, 삼성SDI 등 2차전지 업종의 주가에 상승 압력을 만든다","'첨단전략산업법' 정책이 세부담 증가나 정책 효과 부진으로 LG엔솔, 삼성SDI 등 2차전지 업종의 주가에 하락 압력을 만든다",이 기사는 '첨단전략산업법' 정책과 무관하거나 정책의 주가 영향이 아닌 단순 사실 전달이다,v1.1_frozen
49,IRA 축소,2차전지/에너지,E_foreign_shock,-,"C3,C4","'IRA 축소' 충격이 공급망 위축·정책 불확실성 확대로 LG엔솔, 삼성SDI 등 2차전지 업종의 주가에 하락 압력을 만든다","'IRA 축소' 충격에 대해 한국 기업의 대안 시장 확보와 국산화 가속으로 LG엔솔, 삼성SDI 등 2차전지 업종의 주가에 상승 압력을 만든다",이 기사는 'IRA 축소' 정책과 무관하거나 정책의 주가 영향이 아닌 단순 사실 전달이다,v1.1_frozen
50,그린뉴딜,2차전지/에너지,C_industrial_support,+,"C3,C6","'그린뉴딜' 정책이 설비투자 확대·인프라 구축·시장 신뢰 강화를 통해 두산퓨얼셀, 한화솔루션 등 2차전지 업종의 주가에 상승 압력을 만든다","'그린뉴딜' 정책이 실행 지연과 정책 효과 부진으로 두산퓨얼셀, 한화솔루션 등 2차전지 업종의 주가에 하락 압력을 만든다",이 기사는 '그린뉴딜' 정책과 무관하거나 정책의 주가 영향이 아닌 단순 사실 전달이다,v1.1_frozen
